"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.6.425";"PASSED";"0.8";"NDXm_TICK_UTCPlus02";"M15";"5116.37";"";"1195";"1.16";"0.97";"0.08";"17.05";"0.83";"0.0";"1029.44";"0.93";"4.97";"0.85";"64.42";"51.68";"34.38";"29.95";"32.08";"7.1";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.6.446";"PASSED";"0.71";"NDXm_TICK_UTCPlus02";"M15";"3574.68";"";"953";"1.13";"0.68";"0.07";"11.92";"0.77";"0.0";"1293.61";"0.75";"2.76";"0.53";"77.43";"51.17";"20.24";"14.16";"16.76";"3.15";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.7.492";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"7245.69";"";"1034";"1.27";"1.43";"0.14";"24.15";"0.77";"0.0";"1189.25";"0.96";"6.09";"1.2";"67.95";"51.4";"17.07";"15.73";"16.38";"2.56";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.411";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"6644.18";"";"2047";"1.12";"0.98";"0.06";"22.15";"0.9";"0.0";"1262.18";"0.92";"5.26";"0.69";"62.11";"50.92";"27.63";"20.75";"24.05";"10.63";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.510";"PASSED";"0.8";"NDXm_TICK_UTCPlus02";"M15";"5750.17";"";"1289";"1.17";"1.03";"0.09";"19.17";"0.78";"0.0";"1186.0";"0.98";"4.85";"0.64";"62.73";"52.47";"29.32";"23.59";"26.43";"11.13";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.1.428";"PASSED";"0.77";"NDXm_TICK_UTCPlus02";"M15";"6326.33";"";"966";"1.22";"1.11";"0.13";"21.09";"0.81";"0.0";"1578.92";"0.7";"4.01";"0.68";"88.49";"51.11";"19.17";"14.69";"16.54";"2.35";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.10.313";"PASSED";"0.76";"NDXm_TICK_UTCPlus02";"M15";"5518.92";"";"2584";"1.1";"0.83";"0.04";"18.4";"0.87";"0.0";"1461.67";"1.31";"3.78";"0.57";"43.38";"51.78";"16.45";"16.21";"16.34";"13.32";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.10.342";"PASSED";"0.86";"NDXm_TICK_UTCPlus02";"M15";"11902.55";"";"2930";"1.14";"1.29";"0.08";"39.68";"0.9";"0.0";"1455.5";"0.79";"8.18";"0.91";"74.08";"51.47";"28.9";"21.71";"24.89";"15.34";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.10.463";"PASSED";"0.72";"NDXm_TICK_UTCPlus02";"M15";"4152.21";"";"1111";"1.14";"0.8";"0.07";"13.84";"0.85";"0.0";"1394.75";"0.91";"2.98";"0.65";"65.3";"52.42";"41.63";"35.0";"38.16";"10.08";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.10.495";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"10057.9";"";"2662";"1.15";"1.28";"0.07";"33.53";"0.85";"0.0";"1750.15";"0.97";"5.75";"1.06";"60.64";"51.24";"19.11";"15.44";"17.24";"9.75";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
