"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 1.6.546";"PASSED";"0.64";"NDXm_TICK_UTCPlus02";"M15";"2797.86";"";"1051";"1.1";"0.61";"0.05";"9.33";"0.72";"0.0";"1492.75";"1.03";"1.87";"0.29";"55.33";"51.74";"26.6";"24.02";"25.33";"2.18";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.7.369";"PASSED";"0.5";"NDXm_TICK_UTCPlus02";"M15";"1535.01";"";"1622";"1.03";"0.22";"0.02";"5.12";"0.74";"0.0";"1882.59";"0.59";"0.82";"0.14";"90.15";"51.42";"10.91";"6.89";"8.38";"0.25";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.7.563";"PASSED";"0.6";"NDXm_TICK_UTCPlus02";"M15";"2519.75";"";"1094";"1.09";"0.54";"0.04";"8.4";"0.66";"0.0";"1647.53";"1.02";"1.53";"0.28";"55.14";"51.7";"38.59";"34.11";"36.37";"5.63";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.8.351";"PASSED";"0.72";"NDXm_TICK_UTCPlus02";"M15";"5548.17";"";"2358";"1.1";"0.9";"0.05";"18.49";"0.72";"0.0";"1851.21";"1.25";"3.0";"0.43";"45.37";"51.6";"22.58";"20.9";"21.83";"11.51";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.8.415";"PASSED";"0.71";"NDXm_TICK_UTCPlus02";"M15";"4152.0";"";"1118";"1.13";"0.78";"0.07";"13.84";"0.8";"0.0";"1440.27";"0.84";"2.88";"0.55";"69.29";"51.69";"27.06";"21.29";"23.94";"5.71";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.8.425";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"8085.94";"";"932";"1.27";"1.25";"0.17";"26.95";"0.74";"0.0";"1383.71";"0.6";"5.84";"0.69";"109.89";"52.19";"23.98";"14.55";"18.09";"3.19";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.8.479";"PASSED";"0.67";"NDXm_TICK_UTCPlus02";"M15";"5370.98";"";"2798";"1.07";"0.66";"0.04";"17.9";"0.6";"0.0";"2442.59";"0.9";"2.2";"0.31";"62.2";"52.23";"24.82";"18.43";"21.45";"16.47";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.8.486";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"3698.45";"";"1640";"1.08";"0.63";"0.04";"12.33";"0.77";"0.0";"1504.5";"0.94";"2.46";"0.33";"59.54";"51.77";"32.86";"23.59";"28.09";"11.18";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.8.541";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"5594.79";"";"704";"1.24";"1.01";"0.15";"18.65";"0.71";"0.0";"1311.71";"0.59";"4.27";"0.61";"109.56";"52.28";"25.54";"15.18";"19.03";"2.77";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 1.9.570";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"7869.13";"";"989";"1.24";"1.15";"0.15";"26.23";"0.85";"0.0";"1858.18";"0.59";"4.23";"0.55";"110.56";"52.32";"27.87";"16.65";"20.8";"3.07";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
