"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.8.528";"PASSED";"0.79";"NDXm_TICK_UTCPlus02";"M15";"9109.94";"";"3312";"1.12";"1.22";"0.05";"30.37";"0.86";"0.0";"1905.07";"1.23";"4.78";"0.81";"46.46";"50.96";"15.6";"14.95";"15.31";"11.26";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.8.536";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"10854.38";"";"1901";"1.18";"1.28";"0.11";"36.18";"0.89";"0.0";"1973.06";"0.64";"5.5";"1.04";"97.13";"52.56";"35.03";"21.05";"26.49";"14.03";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.301";"PASSED";"0.8";"NDXm_TICK_UTCPlus02";"M15";"7226.91";"";"2220";"1.11";"0.93";"0.06";"24.09";"0.89";"0.0";"1470.42";"0.76";"4.91";"0.62";"75.25";"51.6";"22.22";"15.82";"18.58";"7.48";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.316";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"7765.38";"";"1712";"1.15";"1.1";"0.09";"25.89";"0.88";"0.0";"1327.38";"0.76";"5.85";"0.85";"78.29";"51.74";"35.13";"27.04";"30.54";"8.87";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.318";"PASSED";"0.88";"NDXm_TICK_UTCPlus02";"M15";"11551.92";"";"1903";"1.2";"1.47";"0.12";"38.51";"0.89";"0.0";"1168.61";"0.75";"9.89";"1.12";"83.51";"52.31";"23.79";"14.78";"18.65";"10.97";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.393";"PASSED";"0.87";"NDXm_TICK_UTCPlus02";"M15";"14303.69";"";"3072";"1.15";"1.4";"0.09";"47.68";"0.9";"0.0";"1577.25";"0.66";"9.07";"1.05";"90.33";"51.47";"25.67";"16.49";"20.12";"13.36";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.408";"PASSED";"0.85";"NDXm_TICK_UTCPlus02";"M15";"9297.22";"";"3047";"1.12";"1.19";"0.06";"30.99";"0.89";"0.0";"1268.83";"0.98";"7.33";"0.91";"58.59";"51.23";"26.77";"21.43";"24.07";"17.82";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.411";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"6777.73";"";"2047";"1.13";"1.0";"0.07";"22.59";"0.9";"0.0";"1236.78";"0.92";"5.48";"0.72";"62.16";"50.85";"27.63";"20.75";"24.05";"10.63";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.413";"PASSED";"0.89";"NDXm_TICK_UTCPlus02";"M15";"9261.59";"";"1601";"1.2";"1.36";"0.11";"30.87";"0.85";"0.0";"904.79";"0.82";"10.24";"1.26";"76.46";"51.97";"20.2";"14.52";"17.07";"8.82";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.9.425";"PASSED";"0.78";"NDXm_TICK_UTCPlus02";"M15";"5685.55";"";"1762";"1.15";"1.03";"0.06";"18.95";"0.81";"0.0";"1284.02";"1.39";"4.43";"0.56";"42.86";"51.89";"18.6";"17.96";"18.33";"10.71";"0.0";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
