"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 2.10.534";"";"0.82";"NDXm_TICK_UTCPlus02";"M15";"1996.54";"";"1529";"1.2";"1.5";"0.08";"49.91";"0.75";"0.0";"358.67";"1.39";"5.57";"1.05";"13.32";"15.39";"17.1";"16.66";"16.92";"11.11";"0.82";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.504";"";"0.73";"NDXm_TICK_UTCPlus02";"M15";"2494.43";"";"1882";"1.15";"1.28";"0.09";"62.36";"0.61";"0.0";"781.02";"0.66";"3.19";"1.97";"26.24";"15.04";"33.57";"22.19";"26.7";"11.33";"0.73";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.570";"";"0.71";"NDXm_TICK_UTCPlus02";"M15";"575.1";"";"486";"1.17";"0.72";"0.08";"14.38";"0.76";"0.0";"207.85";"1.09";"2.77";"0.63";"15.97";"14.87";"18.67";"17.52";"18.12";"1.72";"0.71";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.548";"";"0.67";"NDXm_TICK_UTCPlus02";"M15";"892.36";"";"1050";"1.11";"0.7";"0.06";"22.31";"0.73";"0.0";"401.16";"0.93";"2.22";"0.65";"18.1";"15.2";"33.66";"29.77";"31.65";"10.89";"0.67";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 3.11.304";"";"0.78";"NDXm_TICK_UTCPlus02";"M15";"907.74";"";"747";"1.15";"0.82";"0.08";"22.69";"0.74";"0.0";"203.03";"0.84";"4.47";"1.5";"20.41";"14.82";"17.3";"12.65";"14.77";"2.89";"0.78";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.566";"";"0.75";"NDXm_TICK_UTCPlus02";"M15";"1160.82";"";"847";"1.16";"0.95";"0.09";"29.02";"0.84";"0.0";"315.0";"0.8";"3.69";"1.54";"21.91";"15.03";"28.78";"23.78";"26.0";"3.56";"0.75";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.569";"";"0.75";"NDXm_TICK_UTCPlus02";"M15";"1121.96";"";"1102";"1.15";"1.0";"0.07";"28.05";"0.68";"0.0";"310.41";"1.2";"3.61";"1.57";"14.3";"14.91";"23.29";"22.63";"22.99";"7.61";"0.75";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.547";"";"0.81";"NDXm_TICK_UTCPlus02";"M15";"2176.66";"";"2757";"1.12";"1.25";"0.05";"54.42";"0.78";"0.0";"416.83";"1.31";"5.22";"0.96";"12.85";"15.0";"13.59";"13.78";"13.67";"11.39";"0.81";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.575";"";"0.69";"NDXm_TICK_UTCPlus02";"M15";"803.02";"";"710";"1.13";"0.71";"0.07";"20.08";"0.85";"0.0";"320.6";"0.76";"2.5";"0.68";"22.81";"15.38";"51.13";"39.13";"44.32";"9.28";"0.69";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
"Strategy 2.10.542";"";"0.82";"NDXm_TICK_UTCPlus02";"M15";"2724.4";"";"2856";"1.13";"1.42";"0.06";"68.1";"0.85";"0.0";"471.94";"0.97";"5.77";"1.83";"17.43";"14.96";"21.96";"18.06";"19.97";"15.61";"0.82";"0.0";"";"0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0"
