"Strategy Name";"Filters result";"Fitness (IS)";"Symbol (IS)";"TimeFrame (IS)";"Net profit (IS)";"Mini equity chart (IS)";"# of trades (IS)";"Profit factor (IS)";"Sharpe Ratio (IS)";"R Expectancy (IS)";"Annual % Return (IS)";"Stability (IS)";"Symmetry (IS)";"Drawdown (IS)";"Win/Loss ratio (IS)";"Ret/DD Ratio (IS)";"CAGR/Max DD % (IS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Avg. Bars Win (IS)";"Avg. Bars Loss (IS)";"Avg. Bars in Trade (IS)";"Exposure (IS)";"Fitness (OOS)";"Net profit (OOS)";"Mini equity chart (OOS)";"# of trades (OOS)";"Profit factor (OOS)";"Sharpe Ratio (OOS)";"R Expectancy (OOS)";"Annual % Return (OOS)";"Stability (OOS)";"Symmetry (OOS)";"Drawdown (OOS)";"Win/Loss ratio (OOS)";"Ret/DD Ratio (OOS)";"CAGR/Max DD % (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Avg. Bars Win (OOS)";"Avg. Bars Loss (OOS)";"Avg. Bars in Trade (OOS)";"Exposure (OOS)"
"Strategy 4.4.458";"PASSED";"0.67";"NDXm_TICK_UTCPlus02";"M15";"2639.35";"";"1221";"1.1";"0.68";"0.06";"1.32";"0.77";"0.0";"1162.46";"0.82";"2.27";"0.59";"50.47";"37.56";"31.46";"27.24";"29.15";"9.96";"0.71";"2024.43";"";"380";"1.22";"1.38";"0.12";"4.05";"0.54";"0.0";"713.46";"0.84";"2.84";"3.0";"64.72";"44.84";"34.97";"27.76";"31.06";"1.22"
"Strategy 4.4.466";"PASSED";"0.83";"NDXm_TICK_UTCPlus02";"M15";"6481.35";"";"1858";"1.19";"1.53";"0.09";"3.24";"0.83";"0.0";"1044.4";"1.07";"6.21";"1.67";"42.68";"38.59";"23.2";"18.64";"21.0";"7.73";"0.62";"1084.83";"";"597";"1.08";"0.69";"0.04";"2.17";"0.6";"0.0";"663.34";"0.98";"1.64";"1.68";"48.53";"44.12";"27.08";"21.12";"24.08";"3.32"
"Strategy 4.4.481";"PASSED";"0.69";"NDXm_TICK_UTCPlus02";"M15";"2207.05";"";"955";"1.11";"0.61";"0.07";"1.1";"0.84";"0.0";"883.15";"0.62";"2.5";"0.64";"59.55";"33.41";"33.31";"19.93";"25.07";"3.19";"0.75";"1436.12";"";"259";"1.23";"1.17";"0.14";"2.87";"0.78";"0.0";"404.08";"0.65";"3.55";"3.63";"75.03";"39.6";"41.85";"26.92";"32.8";"1.85"
"Strategy 4.4.506";"PASSED";"0.61";"NDXm_TICK_UTCPlus02";"M15";"2139.44";"";"962";"1.11";"0.64";"0.06";"1.07";"0.8";"0.0";"1347.39";"0.94";"1.59";"0.41";"45.8";"38.89";"30.29";"25.96";"28.07";"8.28";"0.6";"966.61";"";"275";"1.15";"0.85";"0.08";"1.93";"0.66";"0.0";"648.02";"0.92";"1.49";"1.53";"57.63";"46.43";"39.98";"33.01";"36.36";"2.69"
"Strategy 4.4.523";"PASSED";"0.73";"NDXm_TICK_UTCPlus02";"M15";"4026.35";"";"1417";"1.14";"0.96";"0.07";"2.01";"0.79";"0.0";"1296.41";"0.95";"3.11";"0.83";"48.48";"40.35";"34.14";"29.27";"31.64";"10.8";"0.79";"2402.47";"";"452";"1.22";"1.56";"0.11";"4.8";"0.56";"0.0";"501.24";"0.96";"4.79";"5.05";"59.71";"46.72";"33.62";"30.41";"31.98";"1.51"
"Strategy 4.5.325";"PASSED";"0.82";"NDXm_TICK_UTCPlus02";"M15";"6735.02";"";"3284";"1.1";"1.11";"0.06";"3.37";"0.78";"0.0";"1155.68";"0.8";"5.83";"1.49";"49.5";"35.93";"21.09";"14.99";"17.7";"13.36";"0.67";"2515.53";"";"1094";"1.1";"1.09";"0.05";"5.03";"0.8";"0.0";"1145.83";"0.77";"2.2";"2.33";"60.68";"42.5";"21.93";"15.45";"18.26";"4.24"
"Strategy 4.5.336";"PASSED";"0.67";"NDXm_TICK_UTCPlus02";"M15";"2798.46";"";"1290";"1.1";"0.7";"0.05";"1.4";"0.77";"0.0";"1266.14";"0.91";"2.21";"0.58";"48.09";"39.67";"33.13";"28.87";"30.9";"10.29";"0.76";"2412.81";"";"415";"1.25";"1.63";"0.12";"4.83";"0.54";"0.0";"641.01";"0.98";"3.76";"3.99";"59.54";"46.64";"33.87";"29.42";"31.62";"1.72"
"Strategy 4.5.339";"PASSED";"0.81";"NDXm_TICK_UTCPlus02";"M15";"6414.49";"";"1911";"1.18";"1.48";"0.09";"3.21";"0.79";"0.0";"1171.78";"1.07";"5.47";"1.48";"42.88";"38.77";"23.05";"18.76";"20.97";"8.03";"0.63";"1506.04";"";"612";"1.11";"0.96";"0.06";"3.01";"0.72";"0.0";"853.57";"1.01";"1.76";"1.82";"48.44";"43.82";"26.74";"21.49";"24.12";"3.32"
"Strategy 4.5.360";"PASSED";"0.57";"NDXm_TICK_UTCPlus02";"M15";"2020.57";"";"1771";"1.08";"0.59";"0.04";"1.01";"0.71";"0.0";"1628.7";"1.16";"1.24";"0.32";"29.63";"31.82";"13.74";"14.35";"14.02";"7.31";"0.74";"1826.19";"";"528";"1.2";"1.42";"0.09";"3.65";"0.78";"0.0";"553.25";"1.21";"3.3";"3.44";"38.23";"38.59";"16.64";"15.9";"16.31";"0.63"
"Strategy 4.5.361";"PASSED";"0.71";"NDXm_TICK_UTCPlus02";"M15";"2886.84";"";"1010";"1.12";"0.74";"0.07";"1.44";"0.85";"0.0";"1011.87";"0.77";"2.85";"0.73";"60.23";"41.08";"42.34";"36.23";"38.88";"3.57";"0.62";"1322.89";"";"348";"1.14";"0.89";"0.08";"2.65";"0.82";"0.0";"805.77";"0.76";"1.64";"1.67";"72.29";"48.08";"48.65";"40.86";"44.22";"0.46"
